,bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,UTM_X,UTM_Y,log_price,price,high_price
150,2.25,1670,7881,7,4,0,0,38,561861.7162970792,5251109.0446917545,5.401400540781544,252000,0
151,1,1500,3399,7,5,0,0,89,548632.4270163217,5281360.237869325,5.6180480967120925,415000,0
152,3.5,3273,5115,8,3,0,0,1,560008.8387486619,5255224.424258675,5.685741738602264,485000,0
153,2.5,1180,932,8,3,0,0,5,546947.3265679053,5276255.908,5.658011396657113,455000,0
154,1,1300,8184,6,3,0,0,68,551047.3992985063,5288394.385341005,5.401400540781544,252000,0
155,1.75,2430,5481,8,3,0,0,62,552812.7623155274,5267292.168494586,5.604226053,402000,0
156,2,1700,10000,8,3,0,0,23,559570.8104288487,5290609.750356448,5.657055852857104,454000,0
157,2.5,1770,5146,7,3,0,0,23,548477.5335,5263853.573379784,5.574031267727719,375000,0
158,2.5,1710,7230,7,3,0,0,19,553092.5946756238,5236274.720711451,5.439332693830263,275000,0
159,2.75,2750,18029,9,5,0,2,37,565144.7611914679,5267950.213885325,5.977723605288848,950000,1
160,3,2300,8214,8,3,0,0,2,554728.1833,5239334.932013921,5.495393071274826,312891,0
161,1,1270,1399,7,3,0,0,15,546570.0474,5267050.114313402,5.568201724066995,370000,0
162,1,1460,5000,7,4,0,0,81,551034.1157367966,5281369.705018747,5.596597095626461,395000,0
163,1,1160,4360,8,4,0,0,86,553222.6616080331,5280066.662,5.699837725867246,501000,1
164,2.5,2480,6180,9,3,0,0,16,559756.2754228311,5250409.252439586,5.623249290397901,420000,0
165,1,1340,8100,7,4,0,0,62,547247.1817510806,5285572.395692975,5.641870545476313,438400,0
166,3,1780,4228,7,3,0,0,62,553648.5756281873,5266399.504987674,5.544068044350276,350000,0
167,2.5,1690,4500,8,4,0,1,87,546394.0493233748,5270260.773168114,5.8567288903828825,719000,1
168,2.5,2340,19850,9,3,0,0,22,552001.6361707967,5290659.189609027,5.731588765186738,539000,1
169,1.25,2400,6653,11,3,0,2,23,553368.8624,5272298.8022333225,6.1423894661188365,1388000,1
170,3.25,1560,1345,8,3,0,0,6,547013.8468633158,5267998.392507227,5.6512780139981444,448000,0
171,0.75,1270,10092,7,5,0,0,44,569474.2516831723,5289675.093857416,5.4996870826184034,316000,0
172,1.75,1580,9719,7,5,0,0,53,561710.3761315154,5265456.529800875,5.713574538,517100,1
173,1,1150,6000,7,4,0,1,94,559063.9889918629,5281490.182152401,5.919078092376074,830000,1
174,1,1700,7700,7,3,0,0,55,551352.5350009267,5262222.065119267,5.3979400086720375,250000,0
175,2.5,1440,7320,7,5,0,0,61,551300.7515025889,5285173.311147605,5.633468455579586,430000,0
176,2.5,1330,816,8,3,0,0,11,546005.8609162951,5281316.635,5.574031267727719,375000,0
177,2.5,2130,5001,8,5,0,0,43,545127.9272164133,5278386.627589749,5.849419413796899,707000,1
178,3.25,3230,5000,9,3,0,1,13,545697.6402533689,5263153.215608305,5.911157608739977,815000,1
179,1.75,1250,7710,7,4,0,0,68,551182.2132039006,5290107.267267522,5.528916700277655,338000,0
180,1.75,2250,8580,7,4,0,0,57,560023.6199567082,5290303.194231305,5.670245853074124,468000,0
181,1.5,2430,3600,8,3,0,0,35,553710.6837626231,5275992.023663526,5.973127853599698,940000,1
182,2.75,4120,16365,12,3,0,2,16,564134.5418233452,5264026.576833047,6.113943352306837,1300000,1
183,1,1170,3348,7,4,0,0,91,546678.2781,5281699.891345081,5.6599162,457000,0
184,4,4510,15175,10,3,0,0,46,558107.6921237764,5264452.6211954355,6.271841606536499,1870000,1
185,2.5,1730,7200,7,4,0,0,30,560663.3907697697,5250251.835927138,5.3979400086720375,250000,0
186,3.5,4010,15365,11,3,0,1,9,568240.5155,5266996.323643567,6.141449773400467,1385000,1
187,2.5,3200,12369,10,3,0,0,17,564509.9349,5264119.625815427,5.860413477,725126,1
188,2.25,3490,6906,10,4,0,0,87,544539.8914784892,5276726.037607643,6.088136088700551,1225000,1
189,1.5,1500,3075,7,5,0,0,86,548777.3983497452,5281972.760110704,5.8139144200486035,651500,1
190,2.5,2979,17313,11,3,0,2,22,566362.7445391002,5266696.813552775,5.9599948383284165,912000,1
191,1.5,1560,7884,7,3,0,0,46,552637.3639149657,5286663.550410518,5.565847818673518,368000,0
192,3.5,3070,4684,10,3,0,0,6,569547.5802532772,5264655.329012841,5.894869656745253,785000,1
193,1,1570,10050,7,3,0,0,52,557655.8319066304,5287244.745845545,5.565257343420214,367500,0
194,1,960,4560,7,4,0,0,47,547774.974,5266915.357753789,5.4623979978989565,290000,0
195,2.25,2100,3000,7,3,0,0,19,552173.0485,5271521.073,5.694605198933568,495000,0
196,1.75,2150,9000,7,4,0,0,49,566572.5806568087,5281248.955,5.740362689494244,550000,1
197,3,2580,8064,7,3,0,0,102,553642.3502440827,5267077.436859203,5.513217600067939,326000,0
198,1.75,1580,7344,7,5,0,0,104,546671.5445081828,5263761.079064418,5.414973347970818,260000,0
199,2.5,2070,11286,8,3,0,0,19,562250.4230009578,5264217.395,5.802773725291976,635000,1
200,2.5,2150,9375,8,3,0,0,47,554721.2256667141,5256295.246091299,5.453318340047038,284000,0
201,2.25,1610,6655,7,4,0,0,30,563272.2003039734,5253246.974768587,5.553883026643875,358000,0
202,2,1760,4046,7,3,0,0,84,546452.6097428101,5281764.771801818,5.7435097647284294,554000,1
203,2.75,1440,7350,7,4,0,0,35,564990.0816186276,5254766.244155921,5.5191583230939045,330490,0
204,2.5,2110,4038,8,4,0,0,26,563926.4302302642,5248574.799052112,5.550228353055094,355000,0
205,2.5,3290,8147,10,3,0,0,12,566992.6642964233,5283876.999322527,5.9327273673015295,856500,1
206,1.75,2190,12626,8,4,0,0,37,563854.5798404824,5248240.579649095,5.531478917042255,340000,0
207,2.5,2320,4524,8,3,0,0,11,565095.5485257956,5258846.546015204,5.633417953284989,429950,0
208,2.5,2590,7891,9,3,0,0,9,560696.1125120375,5261655.775791356,5.724275869600789,530000,1
209,1.75,2520,10890,7,3,0,0,36,549647.4645362223,5241201.538610206,5.434568904034199,272000,0
210,2,1550,6394,8,5,0,0,97,546749.8417002372,5263383.817925632,5.698970004336019,500000,0
211,2.5,1900,3366,9,3,0,0,19,561259.3718259968,5279712.2526283655,5.7363965022766426,545000,1
212,2,1670,12056,7,3,0,0,60,556674.8661667774,5287879.757171383,5.6020599913279625,400000,0
213,3,3110,5000,7,5,0,0,94,548951.9818273354,5279062.182,5.860338006570994,725000,1
214,1.75,1600,5795,8,3,0,0,75,554349.5989868699,5279977.047592124,5.827578614573967,672324,1
215,2.25,2940,5735,9,3,0,0,58,552280.4205494567,5276312.451933834,6.204119982655925,1600000,1
216,2.5,2050,4876,8,3,0,0,10,563082.3029122704,5291591.695054837,5.654176541877961,451000,0
217,2.5,2700,9320,8,4,0,0,21,560187.4245452302,5281724.003,5.922984815708883,837500,1
218,3.5,2720,6781,8,3,0,0,16,559164.4302169182,5256716.309178148,5.562292864456475,365000,0
219,2.5,2620,7553,8,3,0,0,19,561721.5234752785,5264400.739655952,5.781755374652469,605000,1
220,1.5,1810,18483,8,3,0,0,61,546611.5884398352,5290002.039720673,5.7160033436347994,520000,1
221,1.75,1670,9500,7,3,0,0,39,551743.3285768104,5286010.8509159535,5.511883360978874,325000,0
222,2.5,1613,4338,7,3,0,0,6,563249.0827949906,5248389.635061314,5.446381812222442,279500,0
223,2.5,1270,2509,8,3,0,0,11,547791.5140618953,5264892.675405675,5.535294120042771,343000,0
224,1.75,2040,8996,7,4,0,2,53,566315.1356244489,5270886.652111306,5.749543081091167,561750,1
225,3.5,3170,3858,8,3,0,0,7,563633.7284533345,5261620.296618468,5.694605198933568,495000,0
226,1,1060,4650,7,3,0,0,65,545647.0769792796,5269621.361702318,5.653212513775344,450000,0
227,2.25,2560,8040,8,3,0,0,57,552281.2629,5284570.737490846,5.752048447819439,565000,1
228,1.5,1960,4080,7,3,0,0,100,551791.4429,5280609.481724242,5.8061799739838875,640000,1
229,2,1960,4520,8,3,0,0,93,544743.3032655857,5269792.193207899,5.872156272748293,745000,1
230,1,1280,7572,6,4,0,0,57,562118.0419328545,5255401.996556416,5.243038048686294,175000,0
231,2.5,2160,5298,9,4,0,0,113,551856.9209,5273252.134033604,5.925569909543376,842500,1
232,2.5,2310,5573,9,4,0,0,12,560228.0328846266,5263229.229419242,5.720159303405957,525000,1
233,1.75,1850,6869,6,5,0,2,96,548006.6282,5257014.398818449,5.662710623193903,459950,0
234,3.75,3090,4943,10,3,0,0,5,565346.8562484072,5256581.919971656,5.741151598851785,551000,1
235,3.75,4220,9240,11,5,0,2,24,557967.7448917467,5270964.466837695,6.197280558,1575000,1
236,3.25,4386,12275,10,3,0,0,9,560441.5028561879,5242469.439427098,5.7363965022766426,545000,1
237,2,2210,8556,8,4,0,1,61,545359.6852306698,5277554.839,5.899904727697974,794154,1
238,1.75,1840,7300,8,3,0,0,49,547691.9085850351,5240051.756,5.423245873936808,265000,0
239,1,980,1600,8,3,0,0,5,546947.3265679053,5276255.908,5.650307523131937,447000,0
240,1.75,1800,5102,7,3,0,0,63,544532.2407462497,5277726.283528227,5.816241299991783,655000,1
241,1.75,1900,9375,8,4,0,1,74,554563.1253153697,5281223.909656088,6.018076063645795,1042500,1
242,1.5,2010,7561,7,4,0,0,94,558425.7532645868,5240015.061,5.389166084364533,245000,0
243,2.5,2370,6752,8,3,0,0,21,552041.1245786771,5235431.801521693,5.491361693834273,310000,0
244,2,1580,7400,7,3,0,0,38,562906.6355000272,5280129.975,5.681241237375588,480000,0
245,1.75,1800,7210,7,3,0,0,39,562230.9506143669,5287136.381874608,5.703291378118661,505000,1
246,2.25,1790,11393,8,3,0,0,37,567689.8533608199,5275537.477507479,5.692846919,493000,0
247,1,1330,5000,7,3,0,0,58,551897.5794417115,5285534.288631332,5.6127838567197355,410000,0
248,1,1120,11800,7,3,0,0,65,550372.8169780062,5262313.576801901,5.491291640687592,309950,0
249,2,2940,5500,9,4,0,0,106,550995.1886651949,5277245.804136872,5.977723605288848,950000,1
250,1,1640,12060,7,4,0,0,55,563948.0648305819,5260423.321533183,5.492760389026838,311000,0
251,2,1910,13505,8,3,0,0,60,557757.9945132819,5284511.459,5.615371307939895,412450,0
252,2.5,1410,2500,7,3,0,0,9,548339.0143166133,5262396.446873732,5.423245873936808,265000,0
253,1,1000,4179,5,5,0,0,101,558441.1813979559,5238459.220067268,5.278524964737017,189900,0
254,2,1410,2700,7,4,0,0,113,552465.8576,5272401.754614588,5.7160033436347994,520000,1
255,1.75,2100,15480,7,3,0,0,32,555119.4403488704,5237915.971452893,5.475671188,299000,0
256,1,950,3060,6,3,0,0,90,550822.4627126574,5279822.903470466,5.690196080028514,490000,0
257,2.25,2720,8800,7,4,0,0,57,566303.0077769525,5271953.564919825,5.724275869600789,530000,1
258,1,1510,11165,7,4,0,0,94,550172.5713314296,5285530.244193979,5.739572344450092,549000,1
259,1,1010,6300,7,3,0,0,58,548589.0969466974,5286539.337981312,5.477121254719663,300000,0
260,1,990,8528,6,3,0,0,49,547545.7681018058,5239428.195694397,5.323231468114774,210490,0
261,2.75,2580,11900,7,4,0,0,48,563401.5187,5255237.900477014,5.553883026643875,358000,0
262,1,1660,7500,7,4,0,0,75,552058.1291566129,5284357.551663967,5.660865478,458000,0
263,1.5,1250,7194,7,4,0,0,46,557662.6762657881,5286555.679640945,5.553883026643875,358000,0
264,1,970,5500,7,3,0,0,59,553340.2963673552,5267196.931091825,5.3222192947339195,210000,0
265,2.75,3410,7750,8,5,0,4,57,544675.0791191929,5268880.293240172,6.041392685158225,1100000,1
266,2,1360,6685,7,3,0,0,63,550682.6973077918,5287235.243,5.4623979978989565,290000,0
267,3.25,3800,19798,10,3,0,0,46,560924.4227669438,5268649.354288752,6.379305517750582,2395000,1
268,1,690,6825,5,4,0,0,98,558577.0292777291,5240005.449009945,5.153814864344529,142500,0
269,2.5,2000,8057,8,3,0,0,17,567417.4568751896,5246935.495500198,5.554489160003819,358500,0
270,2,1140,8282,6,3,0,0,91,559276.8967819493,5282692.772796253,5.697229342759718,498000,0
271,1.5,1270,1413,8,3,0,0,8,551244.3721911284,5283060.999833533,5.643452676486188,440000,0
272,2.5,1790,2700,8,3,0,0,5,568225.9732742999,5268241.0471835835,5.707485011967473,509900,1
273,1,1190,6250,7,3,0,0,61,553255.1308190774,5268285.382804608,5.3979400086720375,250000,0
274,1.75,1830,7986,7,4,0,0,53,548934.3005671857,5263246.088,5.549003262025788,354000,0
275,1,1500,4500,7,3,0,0,77,546152.6970542781,5281729.039559375,5.7619278384205295,578000,1
276,1,620,2475,6,5,0,0,104,547222.9899,5279314.645300398,5.604226053,402000,0
277,2.25,1620,8701,7,3,0,0,53,564862.9766829873,5272993.3042620085,5.672051653937387,469950,0
